abandon оставить
abate|уменьшаться
ambush|засада
amend|исправить
amenity|удобство
amid |среди
ammunition|боеприпасы
amount|количество
ample|обильный
amplify|усиливать
amuse|развлечь
ancestor|предок
anchor|якорь
ancient|древний
anew|заново
anger|гнев
angle|угол
angry|злой
anguish|мука
animate|живой
ankle|лодыжка
anniversary|годовщина
announce|объявлять
annoy|раздражать
annual|ежегодный
ant|муравей
anthem|гимн
anticipate|ожидать
antique|старинный
anxiety|беспокойство
anxious|озабоченный
anymore|больше не
anytime|в любой момент
anyway|в любом случае
anywhere|где угодно
apart|отдельно
apart from|помимо
apartment|квартира
ape|обезьяна
apiece|каждый
apology|извинение
appal|потрясать
apparent|явный
appeal|обращаться
appear|появиться
appear|казаться
applause|аплодисменты
appliance|прибор
apply|применять
apply|обращаться
appoint|назначать
appraise|оценивать
appreciate|ценить
apprentice|ученик
approach|приближаться
appropriate|присвоить
appropriate|подходящий
approve|утвердить
approve of|одобрять
approximate|приблизительный
apron|фартук
apt|склонный
aquatic|водный
arbitrary|произвольный
arc|дуга
arch|арка
archive|архив
area|область
argue|спорить
arise |возникать
arm|рука
armor |броня
arms|оружие
arouse|вызывать
arrange|организовать
array|ряд
arrest|задерживать
arrive|прибывать
arrogant|высокомерный
arrow|стрела
arson|поджог
article|статья
article|вещь
artificial|искусственный
as though|как будто
as well|также
as well as|так же как и
ascend|восходить
ascertain|выяснить
ash|пепел
ashamed|пристыженный
ashtray|пепельница
aside|в стороне
aside from|кроме
ask around|поспрашивать
ask out|пригласить сходить
asleep|спящий
aspire|стремиться
ass|жопа
assassin|убийца
assault|нападение
assemble|собирать
assert|утверждать
assess|оценить
asset|актив
assign|назначать
assimilate|усваивать
assist|помогать
associate|общаться
assume|принимать на себя
assume|предпогалать
assure|уверять
astonish|изумлять
astound|изумлять
asylum|убежище
at all|совсем
at first|сначала
at last|наконец
at least|по крайней мере
at odds with|в противоречии
at once|сразу
at the moment|сейчас
atop|наверху
atrocity|зверство
attach|прикрепить
attack|нападать
attain|достигать
attempt|попытка
attend|уделить внимание
attic|чердак
attitude|отношение
attorney|адвокат
attract|привлекать
attribute|приписывать
audible|слышимый
audience|аудитория
augment|увеличить
aunt|тетя
authorities|органы власти
authority|власть
authorize|дать полномочия
available|доступный
avalanche|лавина
average|средний
avert|предотвращать
avid|заядлый
avoid|избегать
await|ожидать
awake|проснуться
award|награда
aware|осведомленный
awe|трепет
awesome|здорово
awful|ужасный
awhile|какое-то время
awkward|неуклюжий
axe |топор
axis|ось
bachelor|бакалавр
bachelor|холостяк
back down|отступить
back then|тогда
back up|поддержать
backbone|хребет
backdrop|фон
background|происхождение
background|фон
backpack|рюкзак
badge|значок
baffled|в неодумении
bag|сумка
bail|залог
bait|приманка
bake|печь
bald|лысый
bale|тюк
balloon|воздушный шар
ballot|госолование
ban|запрещать
band|ансамбль
bandage|повязка
bang|удар
banish|отгонять
bank|берег
bank on|надеяться
bankrupt|банкрот
banner|знамя
baptize|крестить
bar|пластина
bar|загораживать
barb|шип
barber|парикмахер
bare|голый
barefoot|босиком
barely|едва
bargain|сделка
bark|кора
bark|лаять
barn|сарай
barrel|бочка
barren|бесплодный
bartender|бармен
base|основа
basement|подвал
bash|колотить
basket|корзина
bastard|ублюдок
bat|бита
bat|летучая мышь
batch|партия
bath|ванна
bathe|купаться
batter|паста
battle|битва
bay|залив
be after|иметь целью
be back|возвращаться
be in|участвовать
be into|любить
be keen to|желать
be late|опоздать
be off|отсутствовать
be on fire|гореть
be over|закончиться
be up to|замышлять что-то
bead|шарик
beak|клюв
beam|балка
beam|луч
bean|боб
bear |рожать
bear |нести
beard|борода
beast|зверь
beat |победить
beat |бить
beat up|побить
beauty|красота
beaver|бобр
beckon|манить
beef|говядина
beep|гудок
beetle|жук
beforehand|заранее
beg|просить
behave|вести себя
behavior|поведение
behold|созерцать
beige|бежевый
belief|убеждение
bell|колокол
bellow|реветь
belly|живот
belong to|принадлежать
beloved|любимый
below|ниже
belt|пояс
bench|скамейка
bend |изгибать
bend down|наклониться
beneath|ниже
benefit|польза
benevolent|благожелательный
berry|ягода
berth|койка
beside|рядом
besides|кроме
bestow|даровать
bet|ставка
betray|предавать
beverage|напиток
beware|остерегаться
bewilder|смущать
beyond|вне
bias|склонность
bicycle|велосипед
bid|заявка
bigot|фанатик
bill|счет
bill|банкнота
billboard|рекламный щит
billion|миллиард
bin|ящик
bind |связывать
binge|кутеж
birth|рождение
bishop|епископ
bitch|сука
bite |кусать
bitter|горький
bizarre|странный
black out|обесточить
blackmail|шантажировать
blade|лезвие
blame|винить
bland|пресный
blank|пустой
blanket|одеяло
blast|дуновение
blast|взрыв
blatant|явный
blaze|полыхать
bleach|отбелить
bleak|мрачный
bleed |кровоточить
blend|смешивать
bless|благословлять
blind|слепой
blink|мерцать
bliss|блаженство
blizzard|метель
bloat|раздуваться
block|кусок
block|квартал
block out|блокировать
block up|забиться
blonde|блондинка
bloom|расцвет
blossom|цвести
blouse|блузка
blow |дуть
blow |удар
blow out|задуть
blow over|пройти
blow up|взорвать
blow up|накачивать
bluff|блеф
blunt|тупой
blur|размывать
blush|румянец
board|совет
board|доска
board|борт
boast|хвастать
boat|лодка
bog|болото
boil|кипеть
bold|смелый
bolster|укреплять
bond|связь
bond|обязательство
bone|кость
bonfire|костер
boobs|титьки
book|купить
boom|заграждение
boost|повышать
boot|сапог
booth|будка
booze|выпивка
border|граница
bore|надоедать
borough|район
borrow|брать взаймы
both|оба
bother|беспокоить
bottom|дно
boulder|валун
bounce|отскакивать
bound|обязан
boundary|граница
bounds|границы
bounty|вознаграждение
bout|всплеск
bout|бой
bow|бант
bow|лук
bow|поклон
bow out|откланяться
bowel|кишка
bowl|миска
brace|скоба
bracket|скобка
brag|хвастаться
braid|коса
brake|тормоз
branch|ветвь
branch|филиал
brass|латунь
brassiere |бюстгальтер
brave|храбрый
brawl|шумная драка
brazen|наглый
breach|брешь
breadth|ширина
break|перерыв
break |нарушать
break away|отделяться
break down|ломаться
break into |проникнуть
break out|вспыхнуть
break out|сбежать
break up|разорвать отношения
breakthrough|прорыв
breast|грудь
breath|дыхание
breathe|дышать
breed|порода
breed |разводить
brew|заваривать
bribe|взятка
brick|кирпич
bride|невеста
bridge|мост
brief|краткий
briefcase|портфель
bright|яркий
brilliant|блестящий
brim|край сосуда
bring |принести
bring along|взять с собой
bring around|убедить
bring back|вернуть
bring down|сбрасывать
bring in|привлечь
bring out|выпустить
bring up|поднять тему
bring up|воспитывать
brink|грань
brisk|энергичный
bristle|щетина
brittle|ломкий
broad|широкий
broadcast|транслировать
broom|метла
broth|бульон
bruise|синяк
brush|кисть
brute|животное
bubble|пузырь
buck|самец
bucket|ведро
buckle|пряжка
buckle up|пристегнуться
bud|бутон
buddy|дружище
budge|сдвинуть
buffalo|буйвол
bug|жук
build on|нарастить
built-in|встроенный
bulb|лампа
bulge|бугор
bulk|основная масса
bullet|пуля
bullshit|ерунда
bully|задира
bum|бомж
bump|шишка
bump|удар
bun|булочка
bunch|связка
bundle|связка
bunk|койка
bunny|кролик
burden|бремя
burglar|вор взломщик
burn|жечь
burn down|сгореть
burn out|выгореть
burrow|нора
burst|взрыв
bury|хоронить
bush|куст
bustle|суета
busy|занятый
butcher|мясник
butt|торец
butt|задница
butt in|встревать
butter|масло сливочное
butterfly|бабочка
button|пуговица
buy|верить
buy up|скупить
buzz|жужжать
by chance|случайно
by far|безусловно
by heart|наизусть
by oneself|один
by the way|кстати
bypass|обходить
cab|такси
cabbage|капуста
cabin|хижина
cable|канат
cage|клетка
calf |теленок
call back|перезвонить
call for|требовать
call off|отменить
call on|обратиться
calm|спокойный
calm down|успокоиться
camp|лагерь
can|банка
cancel|отменять
cancer|рак
candid|честный
candle|свеча
candy|конфеты
cane|трость
cannon|пушка
canopy|навес
canvas|холст
cap|кепка
capable|способный
capacity|емкость
capacity|способность
cape|мыс
capital|главный
captive|пленник
capture|захватить
carbohydrate|углевод
carbon|углерод
carcass|туша
cardboard|картон
care|забота
care|переживать
career|карьера
caress|ласкать
cargo|груз
carpenter|плотник
carpet|ковер
carriage|каретка
carrot|морковь
carry|носить
carry out|выполнить
cart|телега
cartoon|мультфильм
carve|вырезать
case|случай
case|ящик
cash|наличка
casket|шкатулка
cast |бросать
cast |отливать
casual|случайный
casualty|жертва
catch|расслышать
catch |ловить
catch on|становиться популярным
catch on|внезапно понять
catch up on|следить быть в курсе
catch up with|догнать
cater|обслуживать
catering|общественное питание
cathedral|собор
cattle|крупный рогатый скот
cause|причина
caution|предосторожность
cave|пещера
caviar|икра
cavity|полость
cease|прекращать
cedar|кедр
ceiling|потолок
celebrate|праздновать
celebrity|знаменитость
celestial|астрономический
cell|ячейка
cellar|подвал
cellular|сотовый
cemetery|кладбище
censorship|цензура
census|перепись
century|век
cereal|злак
certain|определенный
chain|цепь
chair|стул
chairman|председатель
chalk|мел
challenge|вызов
chamber|кабинет
chancellor|канцлер
change|сдача
chant|петь
chaos|хаос
chap|парень
chapel|часовня
chapter|глава
character|персонаж
charge|заряжать
charge|обвинять
charge|плата
charity|благотворительность
charm|обаяние
chart|схема
chase|погоня
chat|болтать
chatter|болтать
cheat|жульничать
cheat on|изменять
check|проверить
check in|вселиться
check into|лечь
check on|проверить
check out|посмотреть
check out|освободить номер
checkup|медосмотр
cheek|щека
cheer|аплодировать
cheer on|болеть
cheer up|взбодриться
cheerful|веселый
chef|шеф-повар
chemistry|химия
cherish|лелеять
chess|шахматы
chest|грудь
chest|сундук
chestnut|каштан
chew|жевать
chief|вождь
childhood|детство
chill|холод
chill out|расслабиться
chimney|дымовая труба
chin|подбородок
chip|щепка
choice|выбор
choir|хор
choke|задыхаться
chop|рубить
chop down|срубить
chop up|порезать
chord|аккорд
chore|скучная неприятная работа
chorus|припев
Christmas|рождество
chuck|бросать
chuckle|посмеиваться
chunk|кусок
church|церковь
cinema|кино
cinnamon|корица
circle|круг
circuit|схема
circumstance|обстоятельство
circus|цирк
cite|упоминать
citizen|гражданин
civic|гражданский
civil|гражданский
civilian|гражданский
claim|требовать
claim|утверждать
clam|моллюск
clamour|шум
clamp|зажимать
clap|хлопать в ладоши
clarify|прояснять
clash|столкновение
clasp|застежка
clause|пункт
claw|коготь
clay|глина
clean up|убрать
cleanse|очищать
clear|ясный
clear off|убраться вон
clear out|убирать
clear up|прояснить
cleave|раскалывать
clench|стиснуть
clergy|духовенство
clerical|канцелярский
clever|умный
click|щелкать
cliff|утес
climax|кульминация
climb|взбираться
cling |цепляться
clip|отсекать
clip|зажим
cloak|плащ
clockwise|по часовой стрелке
clog|загромождать
close down|закрыться
close in on|приближаться
closet|стенной шкаф
closure|закрытие
cloth|ткань
clothe|одевать
cloud|облако
clout|влияние
clove|гвоздика
clue|ключ
clump|комок
clumsy|неловкий
clutch|сцеплять
clutter|беспорядок
coach|автобус
coach|тренер
coal|уголь
coarse|грубый
coast|побережье
coaster|подставка
coat|покрывать
coat|пальто
coax|убедить
coconut|кокос
coerce|принуждать
coffin|гроб
coherent|согласованный
cohesion|единство
coil|катушка
coincide|совпасть
coincidence|совпадение
cold|простуда
collaborate|сотрудничать
collapse|обрушиться
collar|воротник
collect|собирать
collide|сталкиваться
colon|двоеточие
colonel|полковник
column|столб
comb|расческа
combat|бой
combine|соединять
come about|произойти
come across|встретить
come along|идти вместе
come along|продвигаться
come by|найти
come by|зайти
come down|сводиться
come from|быть из
come into|унаследовать
come off|выйти
come off|отвалиться
come on|включаться
come out|выступить
come out|выходить
come over|заходить
come through|пережить
come to|очнуться
come to|доходить до
come to life|оживать
come true|сбываться
come under|подвегрнуться
come up|произойти
come up|приближаться
come up to|подойти к
come up with|придумать
come with|прилагаться
comedian|комик
comfort|утешать
commemorate|отметить
commence|начинать
commend|высоко оценивать
commercial|реклама
commission|поручение
commit|совершить
commitment|приверженность
commitment|обязательство
commodity|товар
common|общий
common|обычный
commonplace|обычное дело
commonwealth|содружество
communicate|общаться
community|община
commute|ходить
compact|договор
compare|сравнить
comparison|сравнение
compartment|отсек
compassion|сочуствие
compatible|совместимый
compel|вынуждать
compete|соперничать
complain|жаловаться
complement|допонять
complement|набор
complete|завершить
complex|сложный
complicate|усложнять
comply|соблюдать
compose|составлять
compound|состав
comprehend|понять
comprehensive|исчерпывающий
compress|сжимать
comprise|состоять из
compulsory|принудительный
comrade|товарищ
conceal|скрывать
concede|уступить
conceive|помыслить
concept|понятие
concern|забота
conclude|заключать
concrete|бетон
concur|соглашаться
condemn|осуждать
condition|состояние
condition|условие
conduct|вести
cone|конус
confer|дать
confer|совещаться
confess|признаваться
confide|доверить
confident|уверенный
confine|ограничить
confirm|подтвердить
conform|соответствовать
confront|противостоять
confuse|путать
congestion|загруженность
congratulate|поздравлять
conjunction|соединение
connect|соединять
conquer|завоевать
conquest|завоевание
conscience|совесть
conscious|сознательный
consecutive|последующий по времени
consent|согласие
consequence|последствие
consequent|последующий
conserve|беречь
consider|рассматривать
consider|считать чем-либо
considerable|крупный
consist of|состоять
consistent|последовательный
console|утешать
conspicuous|заметный
conspire|сговариваться
constant|постоянный
constellation|созвездие
constitute|составлять
constrain|ограничивать
construct|соорудить
construction |стройка
consult|советоваться
consume|потреблять
contain|содержать
contaminate|загрязнять
contemplate|созерцать
contemporary|современный
contempt|презрение
contend|бороться
content|содержимое
content with|довольный
contest|соревнование
contingency|непредвиденные обстоятельства
continue|продолжить
contract|сокращаться
contradict|противоречить
contrary|противоположный
contribute|способствовать
controversy|спор
convene|созывать
convenient|удобный
conventional|стандартный
converge|сходиться
converse|разговаривать
convert|преобразовывать
convey|перевозить
convict|осужденный
conviction|убеждение
convince|убеждать
cookie|печенье
cool|прохладный
cool down|остыть
cooperate|сотрудничать
cope with|совладать
copper|медь
cord|веревка
core|ядро
cork|пробка
corn|кукуруза
corner|угол
corps|корпус
corpse|труп
correct|правильный
correlate|соотносить
correspond|соответствовать
corrupt|развращать
cost |стоить
cotton|хлопок
couch|диван
cough|кашель
council|совет
counsel|совет
count|считаться
count|считать
count on|рассчитывать на
counter|противостоять
counter|стойка
counterfeit|подделка
counterpart|аналог
countryside|сельская местность
county|графство
coup|переворот
couple|пара
courage|мужество
court|суд
court|двор
court|игровая площадка
courtesy|учтивость
courtyard|внутренний двор
cover|накрывать
coverage|освещение
covet|желать
coward|трус
co-worker|сотрудник
cozy|уютный
crack|трескаться
crackle|потрескивание
cradle|колыбель
craft|ремесло
cram|втискивать
cramp|судорога
crane|подъемный кран
crank|чудак
crap|дерьмо
crash|горохот
crate|ящик
crave|желать
crawl|ползать
crayon|цветной карандаш
creak|скрипеть
cream|крем
crease|складка
create|создавать
creature|существо
credential|удостоверение
credible|заслуживающий доверия
creed|вероисповедание
creek|ручей
creep|гад
creep |ползти
creepy|жуткий
crest|гребень
crew|команда
crib|раскладушка
crime|преступление
criminal|преступник
crimson|малиновый
cringe|съеживаться
cripple|калека
crisp|хрустящий
crook|сгибать
crop|урожай
cross|пересекать
cross out|вычеркнуть
crossroads|перекресток
crouch|присесть
crow|ворона
crowd|толпа
crown|корона
crucial|решающий
crude|сырой
cruel|жестокий
crumb|крошка
crumble|крошить
crumple|смять
crunch|хрустеть
crusade|крестовый поход
crush|раздавливать
crust|кора
cry out|закричать
cub|детеныш
cubicle|отсек
cucumber|огурец
cuddle|обнимать
cue|сигнал
cuisine|кухня
cup|чашка
cupboard|шкаф
curb|узда
curb|бордюр
cure|лечить
curious|любопытный
curl|скручивать
currency|валюта
current|текущий
current|ток
curriculum vitae|резюме
curse|проклятие
curtain|занавеска
curve|изгибать
cushion|подушка
custody|охрана
custom|заказной
custom|обычай
customer|клиент
customs|таможня
cut across|пересечь
cut down|урезать
cut off|отрезать
cute|привлекательный
dagger|кинжал
daily|ежедневно
dairy|молочные продукты
dam|плотина
damage|вред
damn|проклятый
damp|сырой
dangle|мотаться
dare|осмелиться
darling|дорогой
darn|штопать
dash|тире
dash|бросать
dash|разрушить
data|данные
database|база данных
date|свидание
daunt|пугать
dawn|рассвет
dawn on|осенить
day off|выходной
daze|ошеломить
dazzle|ослепить
dead end|тупик
deaf|глухой
deal|сделка
deal in|заниматься
deal with|иметь дело с
debate|обсуждать
debris|мусор
debt|долг
decade|десятилетие
decay|распад
deceased|покойный
deceive|обманывать
decent|приличный
deception|обман
decide|решить
decisive|решающий
deck|палуба
declare|объявлять
decline|отказаться
decline|снижаться
decorate|украшать
decrease|уменьшать
decree|постановление
dedicate|посвящать
deduct|вычитать
deed|дело
deem|считать
deep|глубокий
deer |олень
defeat|поражение
defence |защита
defend|защитить
deficient|недостаточный
define|определять
definite|определенный
deflect|отклонять
deft|ловкий
defy|пренебрегать
degree|степень
degree|градус
deity|божество
delay|задерживать
deliberate|обдуманный
delicate|тонкий
delicious|восхитительный
delight|восторг
delinquent|правонарушитель
deliver|доставлять
deliver|рожать
delusion|наваждение
demand|требовать
demand|спрос
demise|кончина
demolish|сносить
den|логово
denote|обозначать
denounce|осуждать
dense|густой
dent|вмятина
dental|зубной
deny|отрицать
depart|отправляться
department|отдел
depend|зависеть
dependent|зависимый
depict|изображать
deplete|истощать
deploy|развертывать
depot|хранилище
depress|угнетать
deprive|лишать
depth|глубина
deputy|депутат
derive|выводить
descend|спускаться
descend from|происходить от
describe|описать
desert|пустыня
desert|бросать
deserve|заслуживать
designate|обозначать
desire|желание
desk|письменный стол
desktop|настольный
desolate|пустынный
despair|отчаяние
desperate|отчаянный
despise|презирать
despite|несмотря на
destination|место назначения
destiny|судьба
destroy|разрушать
detach|отделить
detain|задерживать
detect|обнаружить
detention|задержание
deter|удерживать
deteriorate|ухудшать
determine|определить
determined|решителен
detriment|ущерб
devastate|опустошать
develop|развивать
deviate|отклоняться
devise|придумывать
devoid|лишенный
devote|посвятить
devour|пожирать
dial|набирать номер
diamond|бриллиант обычно алмаз
diary|дневник
dice |кубик
dictionary|словарь
die down|утихнуть
die out|вымереть
differ|отличаться
different|разный
difficulty|трудность
diffuse|рассеивать
dig |копать
dig up|откопать
digest|переваривать
digit|цифра
dignity|достоинство
diligent|усердный
dilute|разбавлять
dim|тусклый
dimension|измерение
diminish|уменьшаться
dine|ужинать
dip|окунать
dire|страшный
direct|прямой
direct|направлять
directory|справочник
disable|отключить
disabled|инвалид
disappoint|разочаровывать
disaster|бедствие
discard|отбросить
discern|различить
disciple|ученик
disclose|раскрывать
discount|скидка
discourage|отговорить
discourse|речь
discover|открыть
discreet|сдержанный
discrepancy|несоответствие
discrete|отдельный
discretion|благоразумие
discriminate|различать
discuss|обсуждать
disdain|пренебрегать
disease|болезнь
disgrace|бесчестие
disguise|маскировать
disgust|отвращение
dish|тарелка
dish|блюдо
disillusion|разочаровывать
dislocate|вывихнуть
dismantle|разобрать
dismay|испуг
dismiss|прогонять
dismiss|отклонить
disorder|беспорядок
disparity|неравенство
dispatch|отправлять
dispel|развеяться
dispense|распределять
dispense with|обойтись без
disperse|рассеиваться
displace|вытеснять
display|показ
dispose of|располагать
dispose of|избавиться
dispute|спор
disrupt|нарушить
dissent|несогласие
dissipate|рассеивать
dissolve|растворять
distant|отдаленный
distinct|четкий
distinguish|выделять
distort|искажать
distract|отвлекать
distress|несчастье
distribute|распределять
district|район
disturb|тревожить
ditch|ров
dive|нырять
diverge|расходиться
diverse|разнообразный
divert|отвлечь
divide|делить
divine|божественный
divorce|развод
dizzy|головокружительный
do about|сделать
do away with|покончить
do up|привести в порядок
do without|обойтись без
dock|причал
dodge|уворачиваться
dole|пособие по безработице
doll|кукла
domain|область
dome|купол
domestic|домашний
domestic|внутренний
donate|жертвовать
donkey|осел
doom|гибель
doorway|дверной проем
dope|наркотик
dormitory|общежитие
dot|точка
double|удваивать
doubt|сомневаться
dough|тесто
doughnut|пончик
downtown|центр города
downturn|спад
dozen|дюжина
draft|тяга
draft|проект
drag|тащить
drag on|тянуться долго
drain|слив
drastic|радикальный
draw |тянуть
draw up|составить
drawback|недостаток
drawer|выдвижной ящик
dread|страх
dream|сон
dream up|придумать
dress|одеваться
dress up|нарядиться
drift|дрейфовать
drill|сверло
drills|тренировка
drip|капля
drive |водить машину
drive |двигать
drive out|выгнать
drizzle|моросить
drop|падать
drop|капля
drop by|зайти
drop off|завезти
drop out of|бросить
drought|засуха
drown|тонуть
drug|лекарство
drum|барабан
dry|сухой
dry up|пересохнуть
dual|парный
dub|дублировать
dubious|сомнительный
duckling|утенок
dude|чувак
due|должный
due to|из-за
duke|герцог
dull|скучный
dumb|немой
dumb|тупой
dummy|манекен
dump|сваливать
dump|бросать
duo|дуэт
duplicate|дублировать
durable|прочный
duration|продолжительность
during|во время
dusk|смеркаться
dust|пыль
duty|обязанность
dwarf|карлик
dwell|обитать
dwell on|остановиться
dwindle|постепенно уменьшаться
dye|краска
eager|сильно желающий
early|рано
earn|зарабатывать
earnest|серьезный
earring|серьга
earth|Земля
earthquake |землетрясение
ease|легкость
east|восток
Easter|Пасха
eat out|есть не дома
eat up|съесть полностью
echo|эхо
eclipse|затмение
edge|край
edible|съедобный
edit|редактировать
educate|воспитывать
efficacy|результативность
efficient|оптимальный
effort|усилие
either|либо
either|тоже
either|любой из двух
eject|выталкивать
elaborate|разработать
elbow|локоть
elder|старший
elect|избирать
elevate|поднимать
elicit|добиться
eligible|имеющий право
eliminate|устранять
elk|лось
eloquent|красноречивый
elude|ускользнуть
embark on|начать
embarrass|смущать
embassy|посольство
embed|встроить
embody|олицетворять
embrace|обхватить
emerge|появляться
emergency|чрезвычайная ситуация
eminent|видный
emit|испускать
emperor|император
emphasis|акцент
empire|империя
employ|использовать
employ|нанимать на работу
empower|давать возможность
empty|пустой
enable|давать возможность
enact|вводить
enchant|околдовать
enclose|окружать
encompass|охватывать
encounter|встретиться
encourage|поддерживать
end up|заканчивать чем-либо
endanger|подвергать опасности
endeavor |стремиться
endorse|одобрять
endow|наделять
endure|выдерживать
enforce|внедрить
engage in|заниматься
engaged|помолвленный
engender|зарождать
engine|двигатель
enhance|повысить
enlarge|увеличить
enlighten|просветить
enlist|привлечь
enormous|огромный
enrich|обогащать
enrol |записать
ensemble|ансамбль
ensue|следовать
ensure|обеспечить
entail|влечь за собой
enter|войти
enterprise|предприятие
entertain|развлекать
entice|соблазнять
entire|весь
entitle|давать название
entitle|давать право
entity|сущность
entrepreneur|предприниматель
envelope|конверт
environment|среда
envision|воображать
envy|зависть
equal|равный
equation|уравнение
equip|оснащать
equity|равноправие
eradicate|уничтожить
erase|стирать
erect|воздвигнуть
erode|размывать
errand|поручение
error|ошибка
erupt|извергаться
escape|избежать
essence|сущность
essential|необходимый
establish|установить
esteem|уважать
estimate|примерно оценивать
eternal|вечный
evade|уклоняться
evaluate|дать оценку
evaporate|испаряться
eve|канун
even|ровный
event|событие
eventual|конечный
ever|когда-либо
evidence|доказательство
evident|очевидный
evil|злой
evoke|вызывать
evolve|развиваться
exact|точный
exaggerate|преувеличивать
examine|осмотреть
example|пример
excavate|рыть
exceed|превышать
excel|преуспеть
excellent|превосходный
except|кроме
excerpt|выдержка
excess|избыток
exchange|обмен
excite|волновать
exclaim|восклицать
exclude|исключать
excuse|оправдание
execute|исполнить
execute|казнить
exempt|освободить
exercise|упражнение
exert|приложить
exhale|выдыхать
exhaust|исчерпывать
exhaust|выхлопные газы
exhibit|выставлять
exile|ссылка
exist|существовать
exit|выход
expand|расширять
expanse|пространство
expect|ожидать
expel|высылать
expenditure|расходы
expense|расходы
experience|опыт
expertise|опыт
expire|истекать
explain|объяснять
explicit|явный
explode|взрываться
exploit|использовать
explore|изучать
expose|выставлять
express|выражать
exquisite|утонченный
extend|расширять
extent|степень
exterior|внешний
external|внешний
extinct|вымерший
extinguish|погасить
extort|вымогать
extra|дополнительный
extract|извлекать
extreme|крайний
exuberant|буйный
eyebrow|бровь
eyelid|веко
fable|басня
fabric|ткань
fabulous|невероятный
face|столкнуться
face up to|принять
facet|грань
facial|лицевой
facilitate|облегчать
facility|сооружение
facility|легкость
faction|группировка
factory|фабрика
faculty|дар
fade|увядать
fail|потерпеть неудачу
failure|неудача
faint|слабый
faint|обморок
fair|светлый
fair|справедливый
fairly|довольно
fairy|фея
faith|вера
fall|осень
fall apart|разваливаться
fall asleep|уснуть
fall back on|опереться
fall behind|отставать
fall for|вестись
fall for|влюбляться
fall in love with|влюбиться
fall out|ссориться
fall over|упасть
fall through|провалиться
false|ложный
falter|колебаться
fame|известность
familiar|знакомый
famine|голод
famous|знаменитый
fan|вентилятор
fancy|необычный
fancy|представлять
faraway|далекий
fare|плата за проезд
farewell|прощальный
farm|ферма
fascinate|очаровывать
fashion|мода
fashion|стиль
fasten|закрепить
fat|жир
fate|судьба
fatigue|усталость
faucet|кран
fault|недостаток
fault|вина
favor|благоприятствовать
favor |услуга
fear|страх
feasible|выполнимый
feast|праздник
feat|подвиг
feather|перо
feature|черта
fee|плата
feeble|слабый
feed |кормить
feed on|питаться
feedback|обратная связь
feel |трогать
feel for|сочувствовать
feel like|хотеть
fellow|парень
fellow|товарищ по чему-либо
felon|преступник
female|женский
feminine|женский
fence|забор
fend for |позаботиться о
fend off|защищаться
ferocious|свирепый
ferry|переправа
fertile|плодородный
fetch|сходить принести
fetus|плод
fever|лихорадка
fibre|волокно
fiction|вымысел
fiddle|скрипка
fidelity|верность
field|поле
fierce|свирепый
fight back|отбиваться
fight off|отбить
figure|полагать
figure out|понять
fill in|заполнить
fill in on|посвятить
